ID,Lat,Lon,Hgt_m,wetDelay,hydroDelay,totalDelay,Datetime
BLYT,33.6104,-114.7149,85.93,0.03992197041837419,2.2308627857590952,2.270784756177469,2019-08-17
BMHL,34.2514,-116.053,722.632,0.047726181395700326,2.084649092536457,2.1323752739321566,2019-08-17
BMRY,33.9627,-116.98469999999998,787.253,0.0445465992478167,2.0735659454343978,2.1181125446822144,2019-08-17
BNSL,33.2581,-117.23609999999996,37.448,0.032531547535594875,2.2548539286729734,2.287385476208568,2019-08-17
BOBS,39.448,-116.98199999999996,2185.46,0.07064397007759829,1.7668617246294769,1.8375056947070751,2019-08-17
BOCA,39.4109,-120.04499999999996,2058.924,0.0565515063354673,1.7938407268280172,1.8503922331634848,2019-08-17
BODI,38.2165,-118.969,2468.9179999999997,0.055304053312509004,1.7097168506139295,1.7650209039264386,2019-08-17
BOIL,40.2723,-119.3823,1273.778,0.09939996553311987,1.9582890514871587,2.0576890170202784,2019-08-17
BOMG,33.3646,-115.72969999999998,-84.205,0.037874708482036,2.269707143317441,2.307581851799477,2019-08-17
BONI,37.225,-117.17679999999996,1290.3419999999999,0.05707289161275968,1.9509494593774848,2.008022350990245,2019-08-17
BONT,39.5311,-120.4282,2319.157,0.05293365755096367,1.7426510233366739,1.7955846808876377,2019-08-17
BOOM,39.4756,-119.95590000000004,2106.226,0.058236879566216926,1.78385055387655,1.842087433442767,2019-08-17
BOUL,35.9067,-114.78769999999996,638.481,0.04565982090747088,2.0990206662498383,2.1446804871573093,2019-08-17
BRAD,39.7774,-119.05150000000003,1325.7320000000002,0.0833750663917323,1.946682490194198,2.0300575565859305,2019-08-17
BRAN,34.1849,-118.277,246.245,0.06130599167444083,2.2042402726211345,2.2655462642955757,2019-08-17
BRAW,32.9784,-115.52179999999998,-64.96600000000001,0.04165723595507567,2.2649895351193456,2.306646771074422,2019-08-17
BRBR,41.2303,-120.1091,1819.743,0.08128173600480898,1.843645935059357,1.924927671064166,2019-08-17
BRD1,39.8093,-119.00279999999998,1247.393,0.08574355947270812,1.9636159748314281,2.049359534304136,2019-08-17
BRDY,39.7813,-119.0086,1269.0919999999999,0.08461516616706337,1.9589438902633047,2.043559056430368,2019-08-17
BRI2,37.9195,-122.15250000000003,265.10400000000004,0.06528960696302415,2.1994055218065487,2.2646951287695734,2019-08-17
BRIB,37.9194,-122.1526,262.268,0.06535491983931113,2.2000654937596145,2.265420413598925,2019-08-17
BRIC,37.9194,-122.1526,263.176,0.0653334479377691,2.1998543625106164,2.2651878104483854,2019-08-17
BRID,38.207,-119.31100000000004,2127.489,0.055519960726194494,1.7753066701256237,1.8308266308518184,2019-08-17
BROK,39.1688,-117.94259999999996,1820.646,0.065551923491623,1.8420678551314942,1.9076197786231168,2019-08-17
BRPK,34.6823,-118.5768,1729.111,0.04762163161873812,1.86726135419144,1.9148829858101781,2019-08-17
BRVL,38.4942,-120.04129999999998,2387.859,0.044345218835811794,1.7294228515441663,1.7737680703799783,2019-08-17
BSRY,34.9186,-117.012,613.472,0.042780254111617774,2.1074587454345006,2.150238999546118,2019-08-17
BTDM,34.2928,-118.1882,678.2439999999998,0.05295609415331856,2.1025672643653293,2.155523358518648,2019-08-17
