ID,Date,ZTD,wet_delay,hydrostatic_delay,times,sigZTD,Lat,Lon,Hgt_m
P353,2020-01-03,1.8405,0.0438,1.7967000000000002,0,0.0021,44.0545,-113.97879999999998,2040.999
P354,2020-01-03,1.8557,0.05,1.8057,0,0.0021,44.1085,-113.9789,2000.3
P355,2020-01-03,1.7659,0.0326,1.7333000000000005,0,0.0022,44.2179,-113.7221,2329.219
P357,2020-01-03,1.777,0.0365,1.7405,0,0.0022,44.2271,-113.58190000000002,2295.332
P358,2020-01-03,1.744,0.0309,1.7130999999999998,0,0.002,44.4019,-113.2407,2419.388
P370,2020-01-03,2.2335000000000003,0.0616,2.1719,0,0.0024,42.191,-122.65639999999996,555.054
P377,2020-01-03,2.3878000000000004,0.111,2.2768,0,0.0026,44.0521,-122.88710000000005,142.39
P378,2020-01-03,2.4071,0.116,2.2911,0,0.0022,44.535,-122.9309,83.103
P380,2020-01-03,2.0049,0.0429,1.962,0,0.002,42.2597,-121.7797,1390.845
P381,2020-01-03,1.9703,0.0518,1.9185,0,0.0021,43.0018,-119.9518,1567.454
P382,2020-01-03,1.9926,0.047,1.9456,0,0.0033,43.1771,-121.76959999999995,1453.224
P383,2020-01-03,2.0392,0.0584,1.9808,0,0.0023,44.3422,-122.2172,1295.599
P384,2020-01-03,2.0686,0.0619,2.0067,0,0.0022,44.8411,-122.4828,1182.562
P385,2020-01-03,2.0792,0.0559,2.0233,0,0.002,44.4348,-121.94579999999996,1120.799
P386,2020-01-03,2.1168,0.0888,2.0280000000000005,0,0.0019,44.4028,-118.9678,1103.493
P387,2020-01-03,2.1099,0.0472,2.0627000000000004,0,0.0023,44.2968,-121.5745,962.596
P388,2020-01-03,1.9995,0.0417,1.9578,0,0.0023,42.4688,-120.37760000000004,1405.765
P389,2020-01-03,2.0107,0.0535,1.9572,0,0.0025,43.812,-120.60339999999997,1397.44
P390,2020-01-03,1.9884,0.0673,1.9211000000000005,0,0.0021,43.034,-118.9285,1554.846
P391,2020-01-03,1.9159,0.0588,1.8571,0,0.002,42.2546,-118.41250000000002,1834.232
P392,2020-01-03,2.0515,0.0744,1.9771,0,0.0021,43.4468,-119.00099999999998,1315.519
P393,2020-01-03,2.072,0.0762,1.9958,0,0.002,43.2345,-117.892,1238.305
P394,2020-01-03,2.1368,0.0876,2.0492000000000004,0,0.0021,44.8349,-117.7996,1010.692
P462,2020-01-03,2.0224,0.0509,1.9715,0,0.0024,36.0713,-116.62869999999998,1334.413
P463,2020-01-03,2.0255,0.0518,1.9737,0,0.0024,36.0225,-117.16470000000004,1326.994
P464,2020-01-03,2.1333,0.0579,2.0754,0,0.0025,36.159,-117.40999999999995,911.546
P465,2020-01-03,1.6524,0.0228,1.6296000000000002,0,0.0025,36.4668,-118.13239999999996,2901.552
P466,2020-01-03,1.6871,0.0298,1.6573,0,0.0022,36.5312,-117.78949999999998,2754.58
P467,2020-01-03,2.0103,0.0434,1.9669,0,0.003,36.5702,-118.0906,1380.125
P468,2020-01-03,1.6677000000000002,0.0293,1.6384,0,0.0022,36.9757,-118.1184,2853.303
P469,2020-01-03,1.9124,0.0456,1.8668,0,0.0025,37.2314,-117.93579999999996,1794.822
P470,2020-01-03,2.107,0.0533,2.0537,0,0.0023,34.4624,-117.39390000000004,991.396
P471,2020-01-03,2.3349,0.0698,2.2651,0,0.0023,33.5621,-117.54089999999997,174.757
P472,2020-01-03,2.3452,0.0726,2.2726,0,0.0023,32.8892,-117.10469999999998,137.869
P474,2020-01-03,2.3419000000000003,0.0795,2.2624,0,0.0022,33.3552,-117.2487,182.927
P475,2020-01-03,2.3888000000000003,0.0732,2.3156000000000003,0,0.0023,32.6664,-117.2439,-25.037
P476,2020-01-03,2.3043,0.0757999999999999,2.2285,0,0.0022,33.4396,-117.18970000000002,309.813
P477,2020-01-03,2.2926,0.0708,2.2218,0,0.0023,33.5028,-117.1134,334.519
P478,2020-01-03,2.2867,0.075,2.2117,0,0.0023,33.2357,-117.0716,371.6
P479,2020-01-03,2.0797,0.0517,2.028,0,0.0022,33.4933,-116.78290000000004,1093.843
P480,2020-01-03,2.2532,0.0613,2.1918999999999995,0,0.0024,32.976,-116.3485,436.04
P481,2020-01-03,2.1991,0.0538,2.1453,0,0.0024,32.8222,-116.01080000000002,610.875
P482,2020-01-03,2.1328,0.0522,2.0806000000000004,0,0.0023,33.2402,-116.6714,878.73
P483,2020-01-03,2.0033,0.0448,1.9585,0,0.0023,33.0592,-116.5693,1375.571
P484,2020-01-03,2.0002,0.0424,1.9578,0,0.0023,33.3756,-116.62080000000005,1382.475
P485,2020-01-03,2.2693000000000003,0.0597,2.2096000000000005,0,0.0027,33.2102,-116.409,372.162
P486,2020-01-03,2.3373000000000004,0.0626,2.2747,0,0.0023,33.2602,-116.32230000000004,126.304
P487,2020-01-03,2.3438000000000003,0.06,2.2838000000000003,0,0.0022,33.2135,-116.18309999999995,90.225
P488,2020-01-03,2.3524000000000003,0.0612,2.2912000000000003,0,0.0023,33.201,-116.0788,61.699
P489,2020-01-03,2.2871,0.0567,2.2304,0,0.0023,33.2962,-116.1116,290.3
P490,2020-01-03,1.7121,0.0324,1.6796999999999995,0,0.0025,33.5235,-116.4259,2622.435
P491,2020-01-03,2.3643,0.0562999999999999,2.308,0,0.0024,33.5747,-116.22680000000004,4.237
P492,2020-01-03,2.3502,0.0622,2.2880000000000003,0,0.0023,32.887,-115.9694,68.804
P493,2020-01-03,2.312,0.0588,2.2532,0,0.0023,32.9547,-115.8249,197.471
P494,2020-01-03,2.3814,0.0637,2.3177000000000003,0,0.0024,32.7597,-115.7321,-44.293
P495,2020-01-03,2.3949000000000003,0.0659,2.329,0,0.0023,33.045,-115.6284,-84.001
P496,2020-01-03,2.3815,0.0653,2.3162,0,0.0025,32.7506,-115.596,-40.148
P497,2020-01-03,2.3838000000000004,0.0645999999999999,2.3192000000000004,0,0.0023,32.8347,-115.577,-51.058
P498,2020-01-03,2.387,0.0657,2.3213000000000004,0,0.0023,32.8984,-115.56960000000004,-58.05
P499,2020-01-03,2.3881,0.0624,2.3257,0,0.0024,32.9796,-115.48789999999995,-74.199
P500,2020-01-03,2.3789,0.069,2.3099000000000003,0,0.0023,32.69,-115.29989999999998,-20.595
P501,2020-01-03,2.3871,0.067,2.3201,0,0.0023,32.8758,-115.3979,-55.667
P502,2020-01-03,2.3896,0.0664,2.3232,0,0.0023,32.9825,-115.4219,-66.059
P503,2020-01-03,2.3665000000000003,0.062,2.3045,0,0.0022,32.9489,-115.72019999999998,6.09
P504,2020-01-03,2.3431,0.0584,2.2847,0,0.0023,33.5164,-115.7658,84.009
P505,2020-01-03,2.3835,0.0607,2.3228000000000004,0,0.0023,33.4239,-115.687,-57.782
P506,2020-01-03,2.3905,0.0621,2.3284,0,0.0025,33.0814,-115.5102,-83.401
P507,2020-01-03,2.39,0.0623,2.3277,0,0.0024,33.2,-115.61239999999998,-78.375
P508,2020-01-03,2.3648,0.0619,2.3029,0,0.0023,33.2478,-115.4287,10.669
P510,2020-01-03,2.3712,0.0663,2.3048999999999995,0,0.0023,33.1436,-115.3433,1.505
P511,2020-01-03,2.2922,0.0595,2.2327,0,0.0025,33.8869,-115.29610000000002,273.359
P512,2020-01-03,2.0134000000000003,0.0336,1.9798,0,0.0022,37.5626,-119.69439999999996,1344.627
P513,2020-01-03,2.2865,0.0512,2.2353,0,0.0022,34.9073,-120.65020000000004,284.578
P514,2020-01-03,2.3276,0.054,2.2736,0,0.0023,35.0107,-120.4097,140.916
P515,2020-01-03,2.2827,0.0491,2.2336,0,0.0023,34.8706,-120.2398,290.618
P516,2020-01-03,2.2975,0.0562999999999999,2.2412,0,0.0022,35.1062,-120.3834,262.969
P517,2020-01-03,1.8599,0.0314,1.8285,0,0.0023,34.3764,-118.17759999999998,1959.297
P518,2020-01-03,2.0603,0.0332999999999999,2.027,0,0.0022,35.02,-120.07529999999996,1101.777
P519,2020-01-03,2.1424000000000003,0.0424,2.1,0,0.0022,34.5078,-119.7924,810.902
P520,2020-01-03,2.0257,0.0327999999999999,1.9929,0,0.0022,34.6305,-119.6164,1250.858
P521,2020-01-03,1.9143,0.0304,1.8839,0,0.0021,34.8886,-119.8154,1709.062
P522,2020-01-03,2.1024000000000003,0.0441,2.0583,0,0.0021,35.0866,-119.53610000000003,991.075
