ID,year,path,Lat,Lon,Hgt_m
CASI,2016,http://geodesy.unr.edu/gps_timeseries/trop/CASI/CASI.2016.trop.zip,40.8327,-119.23720000000004,1266.504
CASJ,2016,http://geodesy.unr.edu/gps_timeseries/trop/CASJ/CASJ.2016.trop.zip,33.8073,-116.97140000000002,442.788
CASM,2016,http://geodesy.unr.edu/gps_timeseries/trop/CASM/CASM.2016.trop.zip,34.0177,-118.4717,30.189
CASN,2016,http://geodesy.unr.edu/gps_timeseries/trop/CASN/CASN.2016.trop.zip,34.4157,-119.8453,3.483
CASR,2016,http://geodesy.unr.edu/gps_timeseries/trop/CASR/CASR.2016.trop.zip,38.4407,-122.747,11.46
CASZ,2016,http://geodesy.unr.edu/gps_timeseries/trop/CASZ/CASZ.2016.trop.zip,36.959,-122.0546,2.418
CAT2,2016,http://geodesy.unr.edu/gps_timeseries/trop/CAT2/CAT2.2016.trop.zip,33.3116,-118.3338,477.241
CAT3,2016,http://geodesy.unr.edu/gps_timeseries/trop/CAT3/CAT3.2016.trop.zip,33.4458,-118.48299999999999,5.122000000000001
CATE,2016,http://geodesy.unr.edu/gps_timeseries/trop/CATE/CATE.2016.trop.zip,33.5142,-117.17809999999996,290.962
CATF,2016,http://geodesy.unr.edu/gps_timeseries/trop/CATF/CATF.2016.trop.zip,35.1492,-119.45979999999996,259.875
CAVI,2016,http://geodesy.unr.edu/gps_timeseries/trop/CAVI/CAVI.2016.trop.zip,34.5113,-117.3229,879.582
CAWI,2016,http://geodesy.unr.edu/gps_timeseries/trop/CAWI/CAWI.2016.trop.zip,39.5216,-122.21569999999996,19.839000000000002
CAWO,2016,http://geodesy.unr.edu/gps_timeseries/trop/CAWO/CAWO.2016.trop.zip,36.4003,-119.10379999999998,104.20200000000001
CAWV,2016,http://geodesy.unr.edu/gps_timeseries/trop/CAWV/CAWV.2016.trop.zip,34.1593,-118.83280000000002,247.524
CAYC,2016,http://geodesy.unr.edu/gps_timeseries/trop/CAYC/CAYC.2016.trop.zip,39.1453,-121.64260000000002,-4.109
CBAD,2016,http://geodesy.unr.edu/gps_timeseries/trop/CBAD/CBAD.2016.trop.zip,33.1213,-117.31759999999996,-5.337000000000001
CBHS,2016,http://geodesy.unr.edu/gps_timeseries/trop/CBHS/CBHS.2016.trop.zip,34.1386,-118.6298,284.61
CCCC,2016,http://geodesy.unr.edu/gps_timeseries/trop/CCCC/CCCC.2016.trop.zip,35.5653,-117.6712,813.98
CCCS,2016,http://geodesy.unr.edu/gps_timeseries/trop/CCCS/CCCS.2016.trop.zip,33.8627,-117.86490000000003,31.822
CCSF,2016,http://geodesy.unr.edu/gps_timeseries/trop/CCSF/CCSF.2016.trop.zip,37.7488,-122.40049999999997,-16.414
CCST,2016,http://geodesy.unr.edu/gps_timeseries/trop/CCST/CCST.2016.trop.zip,34.8064,-119.01350000000002,1578.0910000000001
CCWR,2016,http://geodesy.unr.edu/gps_timeseries/trop/CCWR/CCWR.2016.trop.zip,36.1102,-115.0387,494.70099999999996
CCYN,2016,http://geodesy.unr.edu/gps_timeseries/trop/CCYN/CCYN.2016.trop.zip,39.1024,-119.34770000000003,1532.104
CDMT,2016,http://geodesy.unr.edu/gps_timeseries/trop/CDMT/CDMT.2016.trop.zip,34.8295,-116.33590000000004,936.558
